12:53:40 (host: shas0205, pid: 132836) matmul(matrix(10), matrix(10))
12:53:40 (host: shas0205, pid: 132836) matmul(matrix(10), matrix(11))
12:53:40 (host: shas0205, pid: 132836) matmul(matrix(10), matrix(12))
12:53:40 (host: shas0205, pid: 132836) matmul(matrix(10), matrix(13))
12:53:41 (host: shas0205, pid: 132836) matmul(matrix(10), matrix(14))
12:53:41 (host: shas0205, pid: 132836) matmul(matrix(10), matrix(15))
12:53:41 (host: shas0205, pid: 132836) matmul(matrix(10), matrix(16))
12:53:42 (host: shas0205, pid: 132836) matmul(matrix(10), matrix(17))
12:53:42 (host: shas0205, pid: 132836) matmul(matrix(10), matrix(18))
12:53:42 (host: shas0205, pid: 132836) matmul(matrix(10), matrix(19))
12:53:43 (host: shas0205, pid: 132836) matmul(matrix(11), matrix(10))
12:53:43 (host: shas0205, pid: 132836) matmul(matrix(11), matrix(11))
12:53:43 (host: shas0205, pid: 132836) matmul(matrix(11), matrix(12))
12:53:44 (host: shas0205, pid: 132836) matmul(matrix(11), matrix(13))
12:53:44 (host: shas0205, pid: 132836) matmul(matrix(11), matrix(14))
12:53:44 (host: shas0205, pid: 132836) matmul(matrix(11), matrix(15))
12:53:45 (host: shas0205, pid: 132836) matmul(matrix(11), matrix(16))
12:53:45 (host: shas0205, pid: 132836) matmul(matrix(11), matrix(17))
12:53:46 (host: shas0205, pid: 132836) matmul(matrix(11), matrix(18))
12:53:46 (host: shas0205, pid: 132836) matmul(matrix(11), matrix(19))
12:53:46 (host: shas0205, pid: 132836) matmul(matrix(12), matrix(10))
12:53:46 (host: shas0205, pid: 132836) matmul(matrix(12), matrix(11))
12:53:47 (host: shas0205, pid: 132836) matmul(matrix(12), matrix(12))
12:53:47 (host: shas0205, pid: 132836) matmul(matrix(12), matrix(13))
12:53:47 (host: shas0205, pid: 132836) matmul(matrix(12), matrix(14))
12:53:48 (host: shas0205, pid: 132836) matmul(matrix(12), matrix(15))
12:53:48 (host: shas0205, pid: 132836) matmul(matrix(12), matrix(16))
12:53:48 (host: shas0205, pid: 132836) matmul(matrix(12), matrix(17))
12:53:49 (host: shas0205, pid: 132836) matmul(matrix(12), matrix(18))
12:53:49 (host: shas0205, pid: 132836) matmul(matrix(12), matrix(19))
12:53:49 (host: shas0205, pid: 132836) matmul(matrix(13), matrix(10))
12:53:49 (host: shas0205, pid: 132836) matmul(matrix(13), matrix(11))
12:53:50 (host: shas0205, pid: 132836) matmul(matrix(13), matrix(12))
12:53:50 (host: shas0205, pid: 132836) matmul(matrix(13), matrix(13))
12:53:51 (host: shas0205, pid: 132836) matmul(matrix(13), matrix(14))
12:53:51 (host: shas0205, pid: 132836) matmul(matrix(13), matrix(15))
12:53:52 (host: shas0205, pid: 132836) matmul(matrix(13), matrix(16))
12:53:52 (host: shas0205, pid: 132836) matmul(matrix(13), matrix(17))
12:53:52 (host: shas0205, pid: 132836) matmul(matrix(13), matrix(18))
12:53:53 (host: shas0205, pid: 132836) matmul(matrix(13), matrix(19))
12:53:53 (host: shas0205, pid: 132836) matmul(matrix(14), matrix(10))
12:53:54 (host: shas0205, pid: 132836) matmul(matrix(14), matrix(11))
12:53:54 (host: shas0205, pid: 132836) matmul(matrix(14), matrix(12))
12:53:55 (host: shas0205, pid: 132836) matmul(matrix(14), matrix(13))
12:53:55 (host: shas0205, pid: 132836) matmul(matrix(14), matrix(14))
12:53:55 (host: shas0205, pid: 132836) matmul(matrix(14), matrix(15))
12:53:56 (host: shas0205, pid: 132836) matmul(matrix(14), matrix(16))
12:53:56 (host: shas0205, pid: 132836) matmul(matrix(14), matrix(17))
12:53:56 (host: shas0205, pid: 132836) matmul(matrix(14), matrix(18))
12:53:56 (host: shas0205, pid: 132836) matmul(matrix(14), matrix(19))
12:53:57 (host: shas0205, pid: 132836) matmul(matrix(15), matrix(10))
12:53:57 (host: shas0205, pid: 132836) matmul(matrix(15), matrix(11))
12:53:57 (host: shas0205, pid: 132836) matmul(matrix(15), matrix(12))
12:53:57 (host: shas0205, pid: 132836) matmul(matrix(15), matrix(13))
12:53:57 (host: shas0205, pid: 132836) matmul(matrix(15), matrix(14))
12:53:57 (host: shas0205, pid: 132836) matmul(matrix(15), matrix(15))
12:53:57 (host: shas0205, pid: 132836) matmul(matrix(15), matrix(16))
12:53:57 (host: shas0205, pid: 132836) matmul(matrix(15), matrix(17))
12:53:57 (host: shas0205, pid: 132836) matmul(matrix(15), matrix(18))
12:53:57 (host: shas0205, pid: 132836) matmul(matrix(15), matrix(19))
12:53:58 (host: shas0205, pid: 132836) matmul(matrix(16), matrix(10))
12:53:58 (host: shas0205, pid: 132836) matmul(matrix(16), matrix(11))
12:53:58 (host: shas0205, pid: 132836) matmul(matrix(16), matrix(12))
12:53:59 (host: shas0205, pid: 132836) matmul(matrix(16), matrix(13))
12:53:59 (host: shas0205, pid: 132836) matmul(matrix(16), matrix(14))
12:53:59 (host: shas0205, pid: 132836) matmul(matrix(16), matrix(15))
12:53:59 (host: shas0205, pid: 132836) matmul(matrix(16), matrix(16))
12:53:59 (host: shas0205, pid: 132836) matmul(matrix(16), matrix(17))
12:53:59 (host: shas0205, pid: 132836) matmul(matrix(16), matrix(18))
12:54:00 (host: shas0205, pid: 132836) matmul(matrix(16), matrix(19))
12:54:00 (host: shas0205, pid: 132836) matmul(matrix(17), matrix(10))
12:54:00 (host: shas0205, pid: 132836) matmul(matrix(17), matrix(11))
12:54:01 (host: shas0205, pid: 132836) matmul(matrix(17), matrix(12))
12:54:01 (host: shas0205, pid: 132836) matmul(matrix(17), matrix(13))
12:54:01 (host: shas0205, pid: 132836) matmul(matrix(17), matrix(14))
12:54:02 (host: shas0205, pid: 132836) matmul(matrix(17), matrix(15))
12:54:02 (host: shas0205, pid: 132836) matmul(matrix(17), matrix(16))
12:54:02 (host: shas0205, pid: 132836) matmul(matrix(17), matrix(17))
12:54:03 (host: shas0205, pid: 132836) matmul(matrix(17), matrix(18))
12:54:03 (host: shas0205, pid: 132836) matmul(matrix(17), matrix(19))
12:54:03 (host: shas0205, pid: 132836) matmul(matrix(18), matrix(10))
12:54:03 (host: shas0205, pid: 132836) matmul(matrix(18), matrix(11))
12:54:03 (host: shas0205, pid: 132836) matmul(matrix(18), matrix(12))
12:54:04 (host: shas0205, pid: 132836) matmul(matrix(18), matrix(13))
12:54:04 (host: shas0205, pid: 132836) matmul(matrix(18), matrix(14))
12:54:04 (host: shas0205, pid: 132836) matmul(matrix(18), matrix(15))
12:54:04 (host: shas0205, pid: 132836) matmul(matrix(18), matrix(16))
12:54:05 (host: shas0205, pid: 132836) matmul(matrix(18), matrix(17))
12:54:05 (host: shas0205, pid: 132836) matmul(matrix(18), matrix(18))
12:54:05 (host: shas0205, pid: 132836) matmul(matrix(18), matrix(19))
12:54:06 (host: shas0205, pid: 132836) matmul(matrix(19), matrix(10))
12:54:06 (host: shas0205, pid: 132836) matmul(matrix(19), matrix(11))
12:54:07 (host: shas0205, pid: 132836) matmul(matrix(19), matrix(12))
12:54:07 (host: shas0205, pid: 132836) matmul(matrix(19), matrix(13))
12:54:07 (host: shas0205, pid: 132836) matmul(matrix(19), matrix(14))
12:54:08 (host: shas0205, pid: 132836) matmul(matrix(19), matrix(15))
12:54:08 (host: shas0205, pid: 132836) matmul(matrix(19), matrix(16))
12:54:08 (host: shas0205, pid: 132836) matmul(matrix(19), matrix(17))
12:54:08 (host: shas0205, pid: 132836) matmul(matrix(19), matrix(18))
12:54:09 (host: shas0205, pid: 132836) matmul(matrix(19), matrix(19))
12:53:40 (host: shas0205, pid: 132843) matmul(matrix(80), matrix(80))
12:53:40 (host: shas0205, pid: 132843) matmul(matrix(80), matrix(81))
12:53:41 (host: shas0205, pid: 132843) matmul(matrix(80), matrix(82))
12:53:41 (host: shas0205, pid: 132843) matmul(matrix(80), matrix(83))
12:53:41 (host: shas0205, pid: 132843) matmul(matrix(80), matrix(84))
12:53:41 (host: shas0205, pid: 132843) matmul(matrix(80), matrix(85))
12:53:42 (host: shas0205, pid: 132843) matmul(matrix(80), matrix(86))
12:53:42 (host: shas0205, pid: 132843) matmul(matrix(80), matrix(87))
12:53:42 (host: shas0205, pid: 132843) matmul(matrix(80), matrix(88))
12:53:43 (host: shas0205, pid: 132843) matmul(matrix(80), matrix(89))
12:53:43 (host: shas0205, pid: 132843) matmul(matrix(81), matrix(80))
12:53:43 (host: shas0205, pid: 132843) matmul(matrix(81), matrix(81))
12:53:44 (host: shas0205, pid: 132843) matmul(matrix(81), matrix(82))
12:53:44 (host: shas0205, pid: 132843) matmul(matrix(81), matrix(83))
12:53:44 (host: shas0205, pid: 132843) matmul(matrix(81), matrix(84))
12:53:45 (host: shas0205, pid: 132843) matmul(matrix(81), matrix(85))
12:53:45 (host: shas0205, pid: 132843) matmul(matrix(81), matrix(86))
12:53:46 (host: shas0205, pid: 132843) matmul(matrix(81), matrix(87))
12:53:46 (host: shas0205, pid: 132843) matmul(matrix(81), matrix(88))
12:53:46 (host: shas0205, pid: 132843) matmul(matrix(81), matrix(89))
12:53:47 (host: shas0205, pid: 132843) matmul(matrix(82), matrix(80))
12:53:47 (host: shas0205, pid: 132843) matmul(matrix(82), matrix(81))
12:53:47 (host: shas0205, pid: 132843) matmul(matrix(82), matrix(82))
12:53:47 (host: shas0205, pid: 132843) matmul(matrix(82), matrix(83))
12:53:48 (host: shas0205, pid: 132843) matmul(matrix(82), matrix(84))
12:53:48 (host: shas0205, pid: 132843) matmul(matrix(82), matrix(85))
12:53:48 (host: shas0205, pid: 132843) matmul(matrix(82), matrix(86))
