15:19:09 (host: shas0139, pid: 82310) matmul(matrix(30), matrix(30))
15:19:10 (host: shas0139, pid: 82310) matmul(matrix(30), matrix(31))
15:19:10 (host: shas0139, pid: 82310) matmul(matrix(30), matrix(32))
15:19:10 (host: shas0139, pid: 82310) matmul(matrix(30), matrix(33))
15:19:10 (host: shas0139, pid: 82310) matmul(matrix(30), matrix(34))
15:19:10 (host: shas0139, pid: 82310) matmul(matrix(30), matrix(35))
15:19:11 (host: shas0139, pid: 82310) matmul(matrix(30), matrix(36))
15:19:11 (host: shas0139, pid: 82310) matmul(matrix(30), matrix(37))
15:19:11 (host: shas0139, pid: 82310) matmul(matrix(30), matrix(38))
15:19:11 (host: shas0139, pid: 82310) matmul(matrix(30), matrix(39))
15:19:11 (host: shas0139, pid: 82310) matmul(matrix(31), matrix(30))
15:19:12 (host: shas0139, pid: 82310) matmul(matrix(31), matrix(31))
15:19:12 (host: shas0139, pid: 82310) matmul(matrix(31), matrix(32))
15:19:12 (host: shas0139, pid: 82310) matmul(matrix(31), matrix(33))
15:19:13 (host: shas0139, pid: 82310) matmul(matrix(31), matrix(34))
15:19:13 (host: shas0139, pid: 82310) matmul(matrix(31), matrix(35))
15:19:13 (host: shas0139, pid: 82310) matmul(matrix(31), matrix(36))
15:19:14 (host: shas0139, pid: 82310) matmul(matrix(31), matrix(37))
15:19:14 (host: shas0139, pid: 82310) matmul(matrix(31), matrix(38))
15:19:14 (host: shas0139, pid: 82310) matmul(matrix(31), matrix(39))
15:19:14 (host: shas0139, pid: 82310) matmul(matrix(32), matrix(30))
15:19:15 (host: shas0139, pid: 82310) matmul(matrix(32), matrix(31))
15:19:15 (host: shas0139, pid: 82310) matmul(matrix(32), matrix(32))
15:19:15 (host: shas0139, pid: 82310) matmul(matrix(32), matrix(33))
15:19:15 (host: shas0139, pid: 82310) matmul(matrix(32), matrix(34))
15:19:16 (host: shas0139, pid: 82310) matmul(matrix(32), matrix(35))
15:19:16 (host: shas0139, pid: 82310) matmul(matrix(32), matrix(36))
15:19:16 (host: shas0139, pid: 82310) matmul(matrix(32), matrix(37))
15:19:17 (host: shas0139, pid: 82310) matmul(matrix(32), matrix(38))
15:19:17 (host: shas0139, pid: 82310) matmul(matrix(32), matrix(39))
15:19:17 (host: shas0139, pid: 82310) matmul(matrix(33), matrix(30))
15:19:17 (host: shas0139, pid: 82310) matmul(matrix(33), matrix(31))
15:19:18 (host: shas0139, pid: 82310) matmul(matrix(33), matrix(32))
15:19:18 (host: shas0139, pid: 82310) matmul(matrix(33), matrix(33))
15:19:18 (host: shas0139, pid: 82310) matmul(matrix(33), matrix(34))
15:19:18 (host: shas0139, pid: 82310) matmul(matrix(33), matrix(35))
15:19:19 (host: shas0139, pid: 82310) matmul(matrix(33), matrix(36))
15:19:19 (host: shas0139, pid: 82310) matmul(matrix(33), matrix(37))
15:19:19 (host: shas0139, pid: 82310) matmul(matrix(33), matrix(38))
15:19:19 (host: shas0139, pid: 82310) matmul(matrix(33), matrix(39))
15:19:20 (host: shas0139, pid: 82310) matmul(matrix(34), matrix(30))
15:19:20 (host: shas0139, pid: 82310) matmul(matrix(34), matrix(31))
15:19:20 (host: shas0139, pid: 82310) matmul(matrix(34), matrix(32))
15:19:20 (host: shas0139, pid: 82310) matmul(matrix(34), matrix(33))
15:19:20 (host: shas0139, pid: 82310) matmul(matrix(34), matrix(34))
15:19:20 (host: shas0139, pid: 82310) matmul(matrix(34), matrix(35))
15:19:20 (host: shas0139, pid: 82310) matmul(matrix(34), matrix(36))
15:19:21 (host: shas0139, pid: 82310) matmul(matrix(34), matrix(37))
15:19:21 (host: shas0139, pid: 82310) matmul(matrix(34), matrix(38))
15:19:21 (host: shas0139, pid: 82310) matmul(matrix(34), matrix(39))
15:19:21 (host: shas0139, pid: 82310) matmul(matrix(35), matrix(30))
15:19:22 (host: shas0139, pid: 82310) matmul(matrix(35), matrix(31))
15:19:22 (host: shas0139, pid: 82310) matmul(matrix(35), matrix(32))
15:19:22 (host: shas0139, pid: 82310) matmul(matrix(35), matrix(33))
15:19:22 (host: shas0139, pid: 82310) matmul(matrix(35), matrix(34))
15:19:22 (host: shas0139, pid: 82310) matmul(matrix(35), matrix(35))
15:19:23 (host: shas0139, pid: 82310) matmul(matrix(35), matrix(36))
15:19:23 (host: shas0139, pid: 82310) matmul(matrix(35), matrix(37))
15:19:23 (host: shas0139, pid: 82310) matmul(matrix(35), matrix(38))
15:19:23 (host: shas0139, pid: 82310) matmul(matrix(35), matrix(39))
15:19:24 (host: shas0139, pid: 82310) matmul(matrix(36), matrix(30))
15:19:24 (host: shas0139, pid: 82310) matmul(matrix(36), matrix(31))
15:19:24 (host: shas0139, pid: 82310) matmul(matrix(36), matrix(32))
15:19:24 (host: shas0139, pid: 82310) matmul(matrix(36), matrix(33))
15:19:24 (host: shas0139, pid: 82310) matmul(matrix(36), matrix(34))
15:19:25 (host: shas0139, pid: 82310) matmul(matrix(36), matrix(35))
